time,check,shift_amount,shift_in,in,out,expected,match
1,1,0,0,0,0,0,1
3,2,0,1,0,0,0,1
5,3,1,0,0,0,0,1
7,4,1,1,0,1,1,1
9,5,2,0,0,0,0,1
11,6,2,1,0,3,3,1
13,7,3,0,0,0,0,1
15,8,3,1,0,7,7,1
17,9,4,0,0,0,0,1
19,10,4,1,0,15,15,1
21,11,5,0,0,0,0,1
23,12,5,1,0,31,31,1
25,13,6,0,0,0,0,1
27,14,6,1,0,63,63,1
29,15,7,0,0,0,0,1
31,16,7,1,0,127,127,1
33,17,8,0,0,0,0,1
35,18,8,1,0,255,255,1
37,19,9,0,0,0,0,1
39,20,9,1,0,511,511,1
41,21,10,0,0,0,0,1
43,22,10,1,0,1023,1023,1
45,23,11,0,0,0,0,1
47,24,11,1,0,2047,2047,1
49,25,12,0,0,0,0,1
51,26,12,1,0,4095,4095,1
53,27,13,0,0,0,0,1
55,28,13,1,0,8191,8191,1
57,29,14,0,0,0,0,1
59,30,14,1,0,16383,16383,1
61,31,15,0,0,0,0,1
63,32,15,1,0,32767,32767,1
65,33,16,0,0,0,0,1
67,34,16,1,0,65535,65535,1
69,35,17,0,0,0,0,1
71,36,17,1,0,131071,131071,1
73,37,18,0,0,0,0,1
75,38,18,1,0,262143,262143,1
77,39,19,0,0,0,0,1
79,40,19,1,0,524287,524287,1
81,41,20,0,0,0,0,1
83,42,20,1,0,1048575,1048575,1
85,43,21,0,0,0,0,1
87,44,21,1,0,2097151,2097151,1
89,45,22,0,0,0,0,1
91,46,22,1,0,4194303,4194303,1
93,47,23,0,0,0,0,1
95,48,23,1,0,8388607,8388607,1
97,49,24,0,0,0,0,1
99,50,24,1,0,16777215,16777215,1
101,51,25,0,0,0,0,1
103,52,25,1,0,33554431,33554431,1
105,53,26,0,0,0,0,1
107,54,26,1,0,67108863,67108863,1
109,55,27,0,0,0,0,1
111,56,27,1,0,134217727,134217727,1
113,57,28,0,0,0,0,1
115,58,28,1,0,268435455,268435455,1
117,59,29,0,0,0,0,1
119,60,29,1,0,536870911,536870911,1
121,61,30,0,0,0,0,1
123,62,30,1,0,1073741823,1073741823,1
125,63,31,0,0,0,0,1
127,64,31,1,0,2147483647,2147483647,1
129,65,0,0,4294967295,4294967295,4294967295,1
131,66,0,1,4294967295,4294967295,4294967295,1
133,67,1,0,4294967295,4294967294,4294967294,1
135,68,1,1,4294967295,4294967295,4294967295,1
137,69,2,0,4294967295,4294967292,4294967292,1
139,70,2,1,4294967295,4294967295,4294967295,1
141,71,3,0,4294967295,4294967288,4294967288,1
143,72,3,1,4294967295,4294967295,4294967295,1
145,73,4,0,4294967295,4294967280,4294967280,1
147,74,4,1,4294967295,4294967295,4294967295,1
149,75,5,0,4294967295,4294967264,4294967264,1
151,76,5,1,4294967295,4294967295,4294967295,1
153,77,6,0,4294967295,4294967232,4294967232,1
155,78,6,1,4294967295,4294967295,4294967295,1
157,79,7,0,4294967295,4294967168,4294967168,1
159,80,7,1,4294967295,4294967295,4294967295,1
161,81,8,0,4294967295,4294967040,4294967040,1
163,82,8,1,4294967295,4294967295,4294967295,1
165,83,9,0,4294967295,4294966784,4294966784,1
167,84,9,1,4294967295,4294967295,4294967295,1
169,85,10,0,4294967295,4294966272,4294966272,1
171,86,10,1,4294967295,4294967295,4294967295,1
173,87,11,0,4294967295,4294965248,4294965248,1
175,88,11,1,4294967295,4294967295,4294967295,1
177,89,12,0,4294967295,4294963200,4294963200,1
179,90,12,1,4294967295,4294967295,4294967295,1
181,91,13,0,4294967295,4294959104,4294959104,1
183,92,13,1,4294967295,4294967295,4294967295,1
185,93,14,0,4294967295,4294950912,4294950912,1
187,94,14,1,4294967295,4294967295,4294967295,1
189,95,15,0,4294967295,4294934528,4294934528,1
191,96,15,1,4294967295,4294967295,4294967295,1
193,97,16,0,4294967295,4294901760,4294901760,1
195,98,16,1,4294967295,4294967295,4294967295,1
197,99,17,0,4294967295,4294836224,4294836224,1
199,100,17,1,4294967295,4294967295,4294967295,1
201,101,18,0,4294967295,4294705152,4294705152,1
203,102,18,1,4294967295,4294967295,4294967295,1
205,103,19,0,4294967295,4294443008,4294443008,1
207,104,19,1,4294967295,4294967295,4294967295,1
209,105,20,0,4294967295,4293918720,4293918720,1
211,106,20,1,4294967295,4294967295,4294967295,1
213,107,21,0,4294967295,4292870144,4292870144,1
215,108,21,1,4294967295,4294967295,4294967295,1
217,109,22,0,4294967295,4290772992,4290772992,1
219,110,22,1,4294967295,4294967295,4294967295,1
221,111,23,0,4294967295,4286578688,4286578688,1
223,112,23,1,4294967295,4294967295,4294967295,1
225,113,24,0,4294967295,4278190080,4278190080,1
227,114,24,1,4294967295,4294967295,4294967295,1
229,115,25,0,4294967295,4261412864,4261412864,1
231,116,25,1,4294967295,4294967295,4294967295,1
233,117,26,0,4294967295,4227858432,4227858432,1
235,118,26,1,4294967295,4294967295,4294967295,1
237,119,27,0,4294967295,4160749568,4160749568,1
239,120,27,1,4294967295,4294967295,4294967295,1
241,121,28,0,4294967295,4026531840,4026531840,1
243,122,28,1,4294967295,4294967295,4294967295,1
245,123,29,0,4294967295,3758096384,3758096384,1
247,124,29,1,4294967295,4294967295,4294967295,1
249,125,30,0,4294967295,3221225472,3221225472,1
251,126,30,1,4294967295,4294967295,4294967295,1
253,127,31,0,4294967295,2147483648,2147483648,1
255,128,31,1,4294967295,4294967295,4294967295,1
257,129,0,0,4294967294,4294967294,4294967294,1
259,130,0,1,4294967294,4294967294,4294967294,1
261,131,1,0,4294967294,4294967292,4294967292,1
263,132,1,1,4294967294,4294967293,4294967293,1
265,133,2,0,4294967294,4294967288,4294967288,1
267,134,2,1,4294967294,4294967291,4294967291,1
269,135,3,0,4294967294,4294967280,4294967280,1
271,136,3,1,4294967294,4294967287,4294967287,1
273,137,4,0,4294967294,4294967264,4294967264,1
275,138,4,1,4294967294,4294967279,4294967279,1
277,139,5,0,4294967294,4294967232,4294967232,1
279,140,5,1,4294967294,4294967263,4294967263,1
281,141,6,0,4294967294,4294967168,4294967168,1
283,142,6,1,4294967294,4294967231,4294967231,1
285,143,7,0,4294967294,4294967040,4294967040,1
287,144,7,1,4294967294,4294967167,4294967167,1
289,145,8,0,4294967294,4294966784,4294966784,1
291,146,8,1,4294967294,4294967039,4294967039,1
293,147,9,0,4294967294,4294966272,4294966272,1
295,148,9,1,4294967294,4294966783,4294966783,1
297,149,10,0,4294967294,4294965248,4294965248,1
299,150,10,1,4294967294,4294966271,4294966271,1
301,151,11,0,4294967294,4294963200,4294963200,1
303,152,11,1,4294967294,4294965247,4294965247,1
305,153,12,0,4294967294,4294959104,4294959104,1
307,154,12,1,4294967294,4294963199,4294963199,1
309,155,13,0,4294967294,4294950912,4294950912,1
311,156,13,1,4294967294,4294959103,4294959103,1
313,157,14,0,4294967294,4294934528,4294934528,1
315,158,14,1,4294967294,4294950911,4294950911,1
317,159,15,0,4294967294,4294901760,4294901760,1
319,160,15,1,4294967294,4294934527,4294934527,1
321,161,16,0,4294967294,4294836224,4294836224,1
323,162,16,1,4294967294,4294901759,4294901759,1
325,163,17,0,4294967294,4294705152,4294705152,1
327,164,17,1,4294967294,4294836223,4294836223,1
329,165,18,0,4294967294,4294443008,4294443008,1
331,166,18,1,4294967294,4294705151,4294705151,1
333,167,19,0,4294967294,4293918720,4293918720,1
335,168,19,1,4294967294,4294443007,4294443007,1
337,169,20,0,4294967294,4292870144,4292870144,1
339,170,20,1,4294967294,4293918719,4293918719,1
341,171,21,0,4294967294,4290772992,4290772992,1
343,172,21,1,4294967294,4292870143,4292870143,1
345,173,22,0,4294967294,4286578688,4286578688,1
347,174,22,1,4294967294,4290772991,4290772991,1
349,175,23,0,4294967294,4278190080,4278190080,1
351,176,23,1,4294967294,4286578687,4286578687,1
353,177,24,0,4294967294,4261412864,4261412864,1
355,178,24,1,4294967294,4278190079,4278190079,1
357,179,25,0,4294967294,4227858432,4227858432,1
359,180,25,1,4294967294,4261412863,4261412863,1
361,181,26,0,4294967294,4160749568,4160749568,1
363,182,26,1,4294967294,4227858431,4227858431,1
365,183,27,0,4294967294,4026531840,4026531840,1
367,184,27,1,4294967294,4160749567,4160749567,1
369,185,28,0,4294967294,3758096384,3758096384,1
371,186,28,1,4294967294,4026531839,4026531839,1
373,187,29,0,4294967294,3221225472,3221225472,1
375,188,29,1,4294967294,3758096383,3758096383,1
377,189,30,0,4294967294,2147483648,2147483648,1
379,190,30,1,4294967294,3221225471,3221225471,1
381,191,31,0,4294967294,0,0,1
383,192,31,1,4294967294,2147483647,2147483647,1
385,193,0,0,3735928559,3735928559,3735928559,1
387,194,0,1,3735928559,3735928559,3735928559,1
389,195,1,0,3735928559,3176889822,3176889822,1
391,196,1,1,3735928559,3176889823,3176889823,1
393,197,2,0,3735928559,2058812348,2058812348,1
395,198,2,1,3735928559,2058812351,2058812351,1
397,199,3,0,3735928559,4117624696,4117624696,1
399,200,3,1,3735928559,4117624703,4117624703,1
401,201,4,0,3735928559,3940282096,3940282096,1
403,202,4,1,3735928559,3940282111,3940282111,1
405,203,5,0,3735928559,3585596896,3585596896,1
407,204,5,1,3735928559,3585596927,3585596927,1
409,205,6,0,3735928559,2876226496,2876226496,1
411,206,6,1,3735928559,2876226559,2876226559,1
413,207,7,0,3735928559,1457485696,1457485696,1
415,208,7,1,3735928559,1457485823,1457485823,1
417,209,8,0,3735928559,2914971392,2914971392,1
419,210,8,1,3735928559,2914971647,2914971647,1
421,211,9,0,3735928559,1534975488,1534975488,1
423,212,9,1,3735928559,1534975999,1534975999,1
425,213,10,0,3735928559,3069950976,3069950976,1
427,214,10,1,3735928559,3069951999,3069951999,1
429,215,11,0,3735928559,1844934656,1844934656,1
431,216,11,1,3735928559,1844936703,1844936703,1
433,217,12,0,3735928559,3689869312,3689869312,1
435,218,12,1,3735928559,3689873407,3689873407,1
437,219,13,0,3735928559,3084771328,3084771328,1
439,220,13,1,3735928559,3084779519,3084779519,1
441,221,14,0,3735928559,1874575360,1874575360,1
443,222,14,1,3735928559,1874591743,1874591743,1
445,223,15,0,3735928559,3749150720,3749150720,1
447,224,15,1,3735928559,3749183487,3749183487,1
449,225,16,0,3735928559,3203334144,3203334144,1
451,226,16,1,3735928559,3203399679,3203399679,1
453,227,17,0,3735928559,2111700992,2111700992,1
455,228,17,1,3735928559,2111832063,2111832063,1
457,229,18,0,3735928559,4223401984,4223401984,1
459,230,18,1,3735928559,4223664127,4223664127,1
461,231,19,0,3735928559,4151836672,4151836672,1
463,232,19,1,3735928559,4152360959,4152360959,1
465,233,20,0,3735928559,4008706048,4008706048,1
467,234,20,1,3735928559,4009754623,4009754623,1
469,235,21,0,3735928559,3722444800,3722444800,1
471,236,21,1,3735928559,3724541951,3724541951,1
473,237,22,0,3735928559,3149922304,3149922304,1
475,238,22,1,3735928559,3154116607,3154116607,1
477,239,23,0,3735928559,2004877312,2004877312,1
479,240,23,1,3735928559,2013265919,2013265919,1
481,241,24,0,3735928559,4009754624,4009754624,1
483,242,24,1,3735928559,4026531839,4026531839,1
485,243,25,0,3735928559,3724541952,3724541952,1
487,244,25,1,3735928559,3758096383,3758096383,1
489,245,26,0,3735928559,3154116608,3154116608,1
491,246,26,1,3735928559,3221225471,3221225471,1
493,247,27,0,3735928559,2013265920,2013265920,1
495,248,27,1,3735928559,2147483647,2147483647,1
497,249,28,0,3735928559,4026531840,4026531840,1
499,250,28,1,3735928559,4294967295,4294967295,1
501,251,29,0,3735928559,3758096384,3758096384,1
503,252,29,1,3735928559,4294967295,4294967295,1
505,253,30,0,3735928559,3221225472,3221225472,1
507,254,30,1,3735928559,4294967295,4294967295,1
509,255,31,0,3735928559,2147483648,2147483648,1
511,256,31,1,3735928559,4294967295,4294967295,1
513,257,0,0,2779096485,2779096485,2779096485,1
515,258,0,1,2779096485,2779096485,2779096485,1
517,259,1,0,2779096485,1263225674,1263225674,1
519,260,1,1,2779096485,1263225675,1263225675,1
521,261,2,0,2779096485,2526451348,2526451348,1
523,262,2,1,2779096485,2526451351,2526451351,1
525,263,3,0,2779096485,757935400,757935400,1
527,264,3,1,2779096485,757935407,757935407,1
529,265,4,0,2779096485,1515870800,1515870800,1
531,266,4,1,2779096485,1515870815,1515870815,1
533,267,5,0,2779096485,3031741600,3031741600,1
535,268,5,1,2779096485,3031741631,3031741631,1
537,269,6,0,2779096485,1768515904,1768515904,1
539,270,6,1,2779096485,1768515967,1768515967,1
541,271,7,0,2779096485,3537031808,3537031808,1
543,272,7,1,2779096485,3537031935,3537031935,1
545,273,8,0,2779096485,2779096320,2779096320,1
547,274,8,1,2779096485,2779096575,2779096575,1
549,275,9,0,2779096485,1263225344,1263225344,1
551,276,9,1,2779096485,1263225855,1263225855,1
553,277,10,0,2779096485,2526450688,2526450688,1
555,278,10,1,2779096485,2526451711,2526451711,1
557,279,11,0,2779096485,757934080,757934080,1
559,280,11,1,2779096485,757936127,757936127,1
561,281,12,0,2779096485,1515868160,1515868160,1
563,282,12,1,2779096485,1515872255,1515872255,1
565,283,13,0,2779096485,3031736320,3031736320,1
567,284,13,1,2779096485,3031744511,3031744511,1
569,285,14,0,2779096485,1768505344,1768505344,1
571,286,14,1,2779096485,1768521727,1768521727,1
573,287,15,0,2779096485,3537010688,3537010688,1
575,288,15,1,2779096485,3537043455,3537043455,1
577,289,16,0,2779096485,2779054080,2779054080,1
579,290,16,1,2779096485,2779119615,2779119615,1
581,291,17,0,2779096485,1263140864,1263140864,1
583,292,17,1,2779096485,1263271935,1263271935,1
585,293,18,0,2779096485,2526281728,2526281728,1
587,294,18,1,2779096485,2526543871,2526543871,1
589,295,19,0,2779096485,757596160,757596160,1
591,296,19,1,2779096485,758120447,758120447,1
593,297,20,0,2779096485,1515192320,1515192320,1
595,298,20,1,2779096485,1516240895,1516240895,1
597,299,21,0,2779096485,3030384640,3030384640,1
599,300,21,1,2779096485,3032481791,3032481791,1
601,301,22,0,2779096485,1765801984,1765801984,1
603,302,22,1,2779096485,1769996287,1769996287,1
605,303,23,0,2779096485,3531603968,3531603968,1
607,304,23,1,2779096485,3539992575,3539992575,1
609,305,24,0,2779096485,2768240640,2768240640,1
611,306,24,1,2779096485,2785017855,2785017855,1
613,307,25,0,2779096485,1241513984,1241513984,1
615,308,25,1,2779096485,1275068415,1275068415,1
617,309,26,0,2779096485,2483027968,2483027968,1
619,310,26,1,2779096485,2550136831,2550136831,1
621,311,27,0,2779096485,671088640,671088640,1
623,312,27,1,2779096485,805306367,805306367,1
625,313,28,0,2779096485,1342177280,1342177280,1
627,314,28,1,2779096485,1610612735,1610612735,1
629,315,29,0,2779096485,2684354560,2684354560,1
631,316,29,1,2779096485,3221225471,3221225471,1
633,317,30,0,2779096485,1073741824,1073741824,1
635,318,30,1,2779096485,2147483647,2147483647,1
637,319,31,0,2779096485,2147483648,2147483648,1
